sf,toa_ms,sens_dbm,fup_per_day,min_interval_s,range_us,range_eu
7,97.536,-124.53089986991944,307.5787401574803,280.90368,329.3338887503203,343.143073810235
8,174.59199999999998,-127.03089986991944,171.8291788856305,502.82496,439.17379898624387,457.5886432243498
9,308.224,-129.53089986991944,97.33181063122923,887.68512,585.6476733927437,610.2042628542073
10,575.488,-132.03089986991944,52.12967081850534,1657.40544,780.9737241658103,813.720462513508
11,1232.896,-134.53089986991944,24.332952657807308,3550.74048,1041.4451991315161,1085.1136765516155
12,2301.952,-137.03089986991944,13.032417704626335,6629.62176,1388.7894934654776,1447.0223440151203
