config,mode,Lm_mm,R,X,vswr,mm,effm,eff_total,azrip
floating,untuned,82.86,40.537324345271145,-24.050203190366336,1.7620198792545128,0.34382804878146866,0.6319414850470195,0.28811343626555086,0.5149058856727846
floating,tuned,87.0,46.15728292505579,-1.3377395652263604,1.0883607319773374,0.00778181526693406,0.6404557747784387,0.6326739595115046,0.4997524193836502
flown,untuned,82.86,42.39651151109272,-20.700533876644148,1.6072284346670844,0.24220569313908963,0.46391911145323067,0.22171341831414104,0.5382106511414997
flown,tuned,87.0,48.2398122510029,2.2732708066619276,1.0602796412059772,0.0037192831058668187,0.4774566092498276,0.47373732614396075,0.5216872837745795
swap,untuned,82.86,58.352775677239364,169.6694967800318,11.806003183190326,5.406643235719435,0.4516740704524846,-4.9549691652669505,1.1485605780210046
swap,tuned,58.0,28.193648891461713,2.526032365404434,1.7800741063560233,0.3561467132210442,0.32785283839201385,-0.02829387482903034,1.6725823531558242
ideal,untuned,82.86,52.09722323903088,40.03119692392029,2.1522540239673793,0.6228889578208033,0.5289166545217503,-0.09397230329905304,1.6205073003457808
ideal,tuned,74.58,40.9405053838606,-8.548989166928433,1.315808776420361,0.08152620827181767,0.4998326215362528,0.41830641326443513,1.7703393161173469
