band,f_mhz,antenna,peak_dbi,Z_real,Z_imag,vswr50,mismatch_db,eff_gain_dbi,eff_gain_matched_dbi
EU868,868.1,monopole+PCB,1.4817617400955099,20.916592393598364,-70.68066987233614,7.451412330454181,3.795599940085761,0.9130327989848435,-2.8825671411009175
EU868,868.1,monopole no-GP,1.7881355170911934,18.45678259923227,-4018.4142784633973,17500.876793265834,36.410494457910865,1.205245914804484,-35.20524854310638
EU868,868.1,vertical dipole,2.1804965925209125,85.11037994010344,48.411578461703044,2.4286714065518895,0.8282298019155042,1.4720573603869433,0.6438275584714391
EU868,868.1,horizontal dipole,2.1804965925209183,85.11037994010344,48.411578461703044,2.4286714065518895,0.8282298019155042,-0.8185103219503607,-1.646740123865865
EU868,868.1,turnstile,2.180496592520918,85.11037994010344,48.411578461703044,2.4286714065518895,0.8282298019155042,-0.9024576673982654,-1.7306874693137697
US915,904.5,monopole+PCB,1.464952550910256,21.132967640630515,-65.80122008027864,6.7378904523899115,3.466612169076839,0.8972252880168118,-2.569386881060027
US915,904.5,monopole no-GP,1.7865744185664856,18.30051342459865,-3929.608984621655,16878.938058471827,36.25336586508223,1.2034966956498696,-35.04986916943236
US915,904.5,vertical dipole,2.1809053258322058,85.28338781335653,48.4986903911634,2.4324402967961203,0.8310380305285912,1.4722778069721119,0.6412397764435207
US915,904.5,horizontal dipole,2.1809053258322124,85.28338781335653,48.4986903911634,2.4324402967961203,0.8310380305285912,-0.8186323449708712,-1.6496703754994624
US915,904.5,turnstile,2.1809053258322093,85.28338781335653,48.4986903911634,2.4324402967961203,0.8310380305285912,-0.9025609000423106,-1.7335989305709019
