tau_deg,as-flown (US915),vertical dipole
0.0,0.5024375567079791,1.815282502556217
2.5,0.4999879897448201,1.8082586604305264
5.0,0.5005918987791503,1.7939308244670862
7.5,0.4951294635901699,1.7685380668923265
10.0,0.48853407201783206,1.734321930490133
12.5,0.4779757768819526,1.690245915569937
15.0,0.46029976591999955,1.6368457331874113
17.5,0.44108129305618854,1.5744339381580066
20.0,0.4184249490900174,1.5037927786477532
22.5,0.39193337807540785,1.4244212679360504
25.0,0.3619083831566119,1.3373586810728155
27.5,0.33011995759386636,1.2436651206711018
30.0,0.2991905039307536,1.1426558477287245
32.5,0.2659239190735059,1.0355498292669627
35.0,0.22818186648586808,0.923205988097124
37.5,0.18900271743190794,0.8062511521932418
40.0,0.14183862649904874,0.6840383248618533
42.5,0.09470532643487034,0.5594008069798649
45.0,0.044841512389476694,0.43399493181014137
