time,device_id,region,gps_class,balloon_lat,balloon_lon,balloon_alt,lora_sf,gateway_id,gw_lat,gw_lon,rssi,snr,anonymized,has_coords,gc_km,slant_km,elev_gw_deg,depr_balloon_deg,azimuth_deg,phase
2026-05-17 18:40:36.873607+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,ac1f09fffe1058c5,,,-114,-2.2,False,False,,,,,,ascent
2026-05-17 18:45:44.987777+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-104,3.2,True,False,,,,,,ascent
2026-05-17 18:45:44.987777+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-109,-0.8,True,False,,,,,,ascent
2026-05-17 18:45:44.987777+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,36.930773,-121.684841,-110,-10.5,True,True,36.4239525658899,37.09561077277747,10.593681626717286,10.921249649416563,343.9952738775853,ascent
2026-05-17 18:50:53.139350+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-104,2.5,True,False,,,,,,ascent
2026-05-17 18:50:53.139350+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-108,2.2,True,False,,,,,,ascent
2026-05-17 18:50:53.139350+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-109,-4.0,True,False,,,,,,ascent
2026-05-17 18:50:53.139350+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,36.930773,-121.684841,-111,-8.2,True,True,36.4239525658899,37.09561077277747,10.593681626717286,10.921249649416563,343.9952738775853,ascent
2026-05-17 18:50:53.139350+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-111,-6.2,True,False,,,,,,ascent
2026-05-17 18:50:53.139350+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,ac1f09fffe1058c5,,,-113,-0.8,False,False,,,,,,ascent
2026-05-17 18:56:01.507157+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-106,-0.8,True,False,,,,,,ascent
2026-05-17 18:56:01.507157+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,ac1f09fffe1058c5,,,-113,-4.2,False,False,,,,,,ascent
2026-05-17 18:56:01.507157+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-114,-1.8,True,False,,,,,,ascent
2026-05-17 18:56:01.507157+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-119,-5.5,True,False,,,,,,ascent
2026-05-17 19:01:10.000016+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-107,2.5,True,False,,,,,,ascent
2026-05-17 19:01:10.000016+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-110,-5.0,True,False,,,,,,ascent
2026-05-17 19:01:10.000016+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,ac1f09fffe1058c5,,,-113,-6.5,False,False,,,,,,ascent
2026-05-17 19:01:10.000016+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-115,0.2,True,False,,,,,,ascent
2026-05-17 19:01:10.000016+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-117,-2.8,True,False,,,,,,ascent
2026-05-17 19:06:18.388474+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-109,-5.5,True,False,,,,,,ascent
2026-05-17 19:11:26.393134+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,36.692693,-119.751509,-118,-1.5,True,True,162.60831628450336,162.83950965004834,1.7055903843372047,3.1679600857933874,86.44892851458854,ascent
2026-05-17 19:11:26.393134+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-119,-8.2,True,False,,,,,,ascent
2026-05-17 19:16:34.605414+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,36.692693,-119.751509,-108,-0.2,True,True,162.60831628450336,162.83950965004834,1.7055903843372047,3.1679600857933874,86.44892851458854,ascent
2026-05-17 19:16:34.605414+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-113,-9.2,True,False,,,,,,ascent
2026-05-17 19:21:43.035391+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,36.692693,-119.751509,-107,0.2,True,True,162.60831628450336,162.83950965004834,1.7055903843372047,3.1679600857933874,86.44892851458854,ascent
2026-05-17 19:26:52.269777+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-118,-7.25,True,False,,,,,,ascent
2026-05-17 19:32:00.320987+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,36.692693,-119.751509,-108,-1.0,True,True,162.60831628450336,162.83950965004834,1.7055903843372047,3.1679600857933874,86.44892851458854,ascent
2026-05-17 19:37:08.748533+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,36.692693,-119.751509,-112,-8.2,True,True,162.60831628450336,162.83950965004834,1.7055903843372047,3.1679600857933874,86.44892851458854,ascent
2026-05-17 19:42:17.095183+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-112,-5.0,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 19:42:17.095183+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,36.692693,-119.751509,-115,-1.0,True,True,162.60831628450336,162.83950965004834,1.7055903843372047,3.1679600857933874,86.44892851458854,ascent
2026-05-17 19:47:26.075543+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-110,-6.2,True,False,,,,,,ascent
2026-05-17 19:47:26.075543+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-113,-8.0,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 19:47:26.075543+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,ac1f09fffe1058c5,,,-113,-7.0,False,False,,,,,,ascent
2026-05-17 19:52:35.580751+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-117,-3.0,True,False,,,,,,ascent
2026-05-17 19:57:43.862984+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-114,-8.0,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 20:02:52.521911+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,,,-109,-8.8,True,False,,,,,,ascent
2026-05-17 20:02:52.521911+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,36.692693,-119.751509,-110,-7.5,True,True,162.60831628450336,162.83950965004834,1.7055903843372047,3.1679600857933874,86.44892851458854,ascent
2026-05-17 20:02:52.521911+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-112,-5.8,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 20:08:01.039572+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-111,-1.2,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 20:13:09.654294+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-109,,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 20:13:09.654294+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.490621,-120.463011,-111,-2.8,True,True,256.7291163767595,256.9445148680826,0.3894400929174566,2.6982573161038306,156.67623500848333,ascent
2026-05-17 20:18:18.262429+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.490621,-120.463011,-111,-3.2,True,True,256.7291163767595,256.9445148680826,0.3894400929174566,2.6982573161038306,156.67623500848333,ascent
2026-05-17 20:18:18.262429+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-112,-0.2,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 20:23:26.802537+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.490621,-120.463011,-108,-0.2,True,True,256.7291163767595,256.9445148680826,0.3894400929174566,2.6982573161038306,156.67623500848333,ascent
2026-05-17 20:23:26.802537+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-110,1.2,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 20:28:35.829349+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-110,2.0,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 20:28:35.829349+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.490621,-120.463011,-111,-1.5,True,True,256.7291163767595,256.9445148680826,0.3894400929174566,2.6982573161038306,156.67623500848333,ascent
2026-05-17 20:28:35.829349+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,ac1f09fffe1058c5,,,-113,-8.0,False,False,,,,,,ascent
2026-05-17 20:28:35.829349+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.51642256207313,-120.45803904533388,-116,-7.2,True,True,254.2621487314827,254.47760810115506,0.4155088683268276,2.7021401491127874,156.33215611956325,ascent
2026-05-17 20:33:44.700921+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-111,-0.2,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 20:33:44.700921+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.490621,-120.463011,-111,-5.8,True,True,256.7291163767595,256.9445148680826,0.3894400929174566,2.6982573161038306,156.67623500848333,ascent
2026-05-17 20:33:44.700921+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,ac1f09fffe1058c5,,,-112,-5.5,False,False,,,,,,ascent
2026-05-17 20:33:44.700921+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.51642256207313,-120.45803904533388,-115,-6.0,True,True,254.2621487314827,254.47760810115506,0.4155088683268276,2.7021401491127874,156.33215611956325,ascent
2026-05-17 20:38:53.880352+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.490621,-120.463011,-110,1.8,True,True,256.7291163767595,256.9445148680826,0.3894400929174566,2.6982573161038306,156.67623500848333,ascent
2026-05-17 20:38:53.880352+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-110,1.8,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 20:38:53.880352+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.51642256207313,-120.45803904533388,-112,1.2,True,True,254.2621487314827,254.47760810115506,0.4155088683268276,2.7021401491127874,156.33215611956325,ascent
2026-05-17 20:44:02.655571+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.490621,-120.463011,-105,4.5,True,True,256.7291163767595,256.9445148680826,0.3894400929174566,2.6982573161038306,156.67623500848333,ascent
2026-05-17 20:44:02.655571+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.51642256207313,-120.45803904533388,-109,4.2,True,True,254.2621487314827,254.47760810115506,0.4155088683268276,2.7021401491127874,156.33215611956325,ascent
2026-05-17 20:44:02.655571+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-110,1.0,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 20:44:02.655571+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,ac1f09fffe1058c5,,,-114,-6.5,False,False,,,,,,ascent
2026-05-17 20:49:11.130426+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-106,2.2,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 20:49:11.130426+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.490621,-120.463011,-106,2.5,True,True,256.7291163767595,256.9445148680826,0.3894400929174566,2.6982573161038306,156.67623500848333,ascent
2026-05-17 20:49:11.130426+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.51642256207313,-120.45803904533388,-109,2.8,True,True,254.2621487314827,254.47760810115506,0.4155088683268276,2.7021401491127874,156.33215611956325,ascent
2026-05-17 20:54:19.952306+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.51642256207313,-120.45803904533388,-110,3.5,True,True,254.2621487314827,254.47760810115506,0.4155088683268276,2.7021401491127874,156.33215611956325,ascent
2026-05-17 20:54:19.952306+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.490621,-120.463011,-110,-2.0,True,True,256.7291163767595,256.9445148680826,0.3894400929174566,2.6982573161038306,156.67623500848333,ascent
2026-05-17 20:54:19.952306+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-112,-1.5,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 20:59:28.253829+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.490621,-120.463011,-109,,True,True,256.7291163767595,256.9445148680826,0.3894400929174566,2.6982573161038306,156.67623500848333,ascent
2026-05-17 20:59:28.253829+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.51642256207313,-120.45803904533388,-110,2.2,True,True,254.2621487314827,254.47760810115506,0.4155088683268276,2.7021401491127874,156.33215611956325,ascent
2026-05-17 20:59:28.253829+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.459499,-120.446017,-113,-4.2,True,True,260.52279288712685,260.7381123647094,0.3499047657970208,2.6928392943746804,156.65349898801924,ascent
2026-05-17 21:04:36.472483+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,packetbroker,34.51642256207313,-120.45803904533388,-106,5.8,True,True,254.2621487314827,254.47760810115506,0.4155088683268276,2.7021401491127874,156.33215611956325,ascent
2026-05-17 21:04:36.472483+00:00,stratolink-3,US,STALE,36.6159551,-121.5718565,6924.0,7.0,eui-ac1f09fffe1058af,,,-109,-5.2,False,False,,,,,,ascent
