lat,lon,online
48.71596954453305,19.13628867865237,True
49.69214817468671,18.35300919696021,True
49.7754769273601,18.2683248922827,False
49.46549402271254,18.144851444201905,True
49.46440905351607,18.142178738859386,False
49.4636755001177,18.1406163399206,True
49.46365004867804,18.13968623214304,True
49.46203542476372,18.139102019393462,False
49.46417197464262,18.137416058980428,False
49.455982290905276,18.12970427187444,False
49.484542637733526,17.978519666697867,True
49.4470574583363,17.9785186949131,False
49.26052315401983,17.89558052158577,True
48.4228554,17.0348385,True
48.170916285114146,17.180709541515466,True
48.15715270858508,17.125563488785712,True
48.141732574065045,17.126972917422314,True
48.147960640923785,17.113934971802742,True
48.11131517740886,17.11108709689209,True
48.1496120747541,17.0713036595935,True
50.396744476091854,16.22951808959575,True
50.0609463202178,14.5282464902001,True
50.09809955307742,14.171230201966642,True
50.50858916943841,14.040650724082752,True
48.2305619931033,11.3391831925874,True
48.9430331831722,9.4387673268766,True
51.3536127978833,1.28911125519215,False
51.50991769706187,-0.119473992827528,True
51.304464554353586,-1.086623674482119,True
57.69729466959767,-2.003910226689254,True
39.485334414910774,-0.44718472689713,True
25.28661172131427,55.41192691838979,False
