gateway_id,receptions,uplinks_heard,region,rssi_med,rssi_best,snr_med,snr_best,has_coords,gw_lat,gw_lon,gc_max_km,lat,lon,id,final_lat,final_lon
mtcdtip-l4e1-868-dattera-2,5,5,EU,-114.0,-113.0,-6.5,-4.8,1,40.31007631707678,-3.733453631302837,142.18885910933892,40.31007631707678,-3.733453631302837,mtcdtip-l4e1-868-dattera-2,40.31007631707678,-3.733453631302837
ifapa,5,5,EU/US,-118.0,-116.0,-4.5,-2.2,0,,,,38.21016,-4.28749,ifapa,38.21016,-4.28749
fest-kerlink,5,5,US,-107.0,-103.0,3.0,7.0,1,36.71525376025787,-4.495701491832734,19.6246913689521,36.71525376025787,-4.495701491832734,fest-kerlink,36.71525376025787,-4.495701491832734
cte-escolas-2,5,5,EU,-114.0,-113.0,-8.0,-5.8,1,38.64311,-7.54788,227.3338176403089,38.64311,-7.54788,cte-escolas-2,38.64311,-7.54788
luisdelucena,4,4,EU,-116.0,-116.0,-5.5,-5.25,1,40.64196411603373,-3.1820132085638857,179.67776411932374,40.64196411603373,-3.1820132085638857,luisdelucena,40.64196411603373,-3.1820132085638857
ext-sg50-020,4,4,EU,-103.5,-102.0,-7.35,-3.8,0,,,,,,,,
cicytex-unex-2,4,4,EU,-115.5,-114.0,-6.1,-5.2,0,,,,38.85199,-6.67131,cicytex-unex-2,38.85199,-6.67131
ext-dlos8-025,4,4,US,-108.5,-105.0,-0.6499999999999999,3.8,0,,,,,,,,
lareina-smartalmond-sg50,4,4,US,-117.0,-117.0,-5.0,-4.2,0,,,,,,,,
dlps8-119,4,4,EU,-113.0,-112.0,-6.9,-6.0,0,,,,,,,,
sg50-perte-malpica-04,4,4,EU,-113.5,-111.0,-8.5,-6.0,0,,,,,,,,
delacalceta-smartalmond,4,4,US,-118.5,-116.0,-8.0,-7.8,0,,,,,,,,
ies-antonio-gala-palma-del-rio,4,4,US,-118.0,-112.0,-4.8,-3.5,1,37.69985544958225,-5.274265758019731,111.49899305803068,37.69985544958225,-5.274265758019731,ies-antonio-gala-palma-del-rio,37.69985544958225,-5.274265758019731
eco-kerlink,3,3,US,-113.0,-111.0,1.0,4.0,1,36.72737938425612,-4.417445361614228,20.701737420886342,36.72737938425612,-4.417445361614228,eco-kerlink,36.72737938425612,-4.417445361614228
ttn-cercedilla,3,3,EU,-118.0,-114.0,-7.0,-5.0,1,40.73906,-4.05709,107.54576288246913,40.73906,-4.05709,ttn-cercedilla,40.73906,-4.05709
anguillas-smartalmond,3,3,US,-118.0,-117.0,-8.5,-4.5,0,,,,,,,,
aps-growth-usal,3,3,EU,-111.0,-106.0,-8.0,-7.8,1,40.9604459791695,-5.67081212997437,73.85673694049223,40.9604459791695,-5.67081212997437,aps-growth-usal,40.9604459791695,-5.67081212997437
uah-outdoor,3,3,EU,-113.0,-113.0,-7.8,-5.8,1,40.513016253496716,-3.3499574594000614,260.3343663648936,40.51301625349672,-3.3499574594000614,uah-outdoor,40.513016253496716,-3.3499574594000614
eui-a84041ffff228b44,3,3,US,-118.0,-117.0,-8.5,-8.2,1,36.8248571561759,-6.32017478958428,159.23743997478093,36.8248571561759,-6.32017478958428,eui-a84041ffff228b44,36.8248571561759,-6.32017478958428
upm-etsime-tellus-001,3,3,EU,-117.0,-115.0,-6.0,-5.5,1,40.4433240038774,-3.70036411460872,231.44963053887213,40.4433240038774,-3.70036411460872,upm-etsime-tellus-001,40.4433240038774,-3.70036411460872
eui-5030354148104750,3,3,US,-111.0,-111.0,-3.25,-1.5,1,36.965073280321086,-4.130834992613251,36.657713511501925,36.965073280321086,-4.130834992613251,eui-5030354148104750,36.965073280321086,-4.130834992613251
ext-sg50-013,3,3,EU,-117.0,-115.0,-8.8,-7.2,0,,,,,,,,
wisgate-los-cerros-e3,3,3,US,-113.0,-111.0,-8.5,-6.8,1,38.01586250073645,-3.383658022157903,161.1512868449637,38.01586250073645,-3.383658022157903,wisgate-los-cerros-e3,38.01586250073645,-3.383658022157903
eui-3133303733004000,3,3,US,-107.0,-103.0,0.75,1.0,1,36.770203,-4.099151,40.753895249758315,36.770203,-4.099151,eui-3133303733004000,36.770203,-4.099151
eui-3133303733004000,3,3,US,-107.0,-103.0,0.75,1.0,1,36.770203,-4.099151,40.753895249758315,36.77021163,-4.0991302,eui-3133303733004000,36.770203,-4.099151
gw-valeserrano,3,3,EU,-120.0,-120.0,-8.0,-7.2,0,,,,,,,,
mmaker-xerocraft,3,3,US,-120.0,-119.0,-4.2,-3.0,1,32.22747589612853,-110.97387677703236,152.94200554634082,32.22747589612853,-110.97387677703236,mmaker-xerocraft,32.22747589612853,-110.97387677703236
italr0002,2,2,EU,-113.5,-112.0,-6.25,-4.5,1,42.0074540232199,-4.55747170209175,219.13430491423532,42.0074540232199,-4.55747170209175,italr0002,42.0074540232199,-4.55747170209175
aciprestes-gw,2,2,EU,-115.0,-115.0,-5.875,-5.25,1,41.2090915448,-7.4329554723,106.43041135096654,41.2090915448,-7.4329554723,aciprestes-gw,41.2090915448,-7.4329554723
gateway-ttn-etsii-usal,2,2,EU,-114.5,-114.0,-8.125,-8.0,1,40.3852372549182,-5.760759661242656,62.48366445383774,40.3852372549182,-5.760759661242656,gateway-ttn-etsii-usal,40.3852372549182,-5.760759661242656
meceiot-dragino-lps8n-001,2,2,EU,-119.0,-119.0,-7.25,-7.25,1,40.64962954290437,-4.690829015625737,146.65926997484982,40.64962954290437,-4.690829015625737,meceiot-dragino-lps8n-001,40.64962954290437,-4.690829015625737
ext-sg50-006,2,2,US,-117.5,-117.0,-7.699999999999999,-7.2,0,,,,,,,,
qtaseixoa1,2,2,EU,-118.0,-118.0,-7.5,-7.25,1,41.168191098992914,-7.5545961859461395,112.21895087634549,41.168191098992914,-7.5545961859461395,qtaseixoa1,41.168191098992914,-7.5545961859461395
2202-dev1,2,2,US,-114.5,-114.0,-8.9,-8.8,1,33.46823311421213,-117.62623786926271,127.86542918210145,33.46823311421213,-117.62623786926272,2202-dev1,33.46823311421213,-117.62623786926271
iag-agrotech,2,2,US,-119.0,-119.0,-6.9,-6.8,1,37.7574787684571,-5.40559535662634,,37.7574787684571,-5.40559535662634,iag-agrotech,37.7574787684571,-5.40559535662634
cet-cm-001,2,2,US,-113.5,-113.0,-6.6,-5.0,0,,,,,,,,
eui-ac1f09fffe1058af,1,1,US,-109.0,-109.0,-5.2,-5.2,0,,,,,,,,
d4cbe3b8d0d04ecab529bb5fe0713a7e,1,1,US,-122.0,-122.0,-8.2,-8.2,0,,,,,,,,
terraprima-lora-1-black-lte,1,1,EU,-110.0,-110.0,-8.25,-8.25,0,,,,,,,,
ifapa-d6bf,1,1,US,-111.0,-111.0,-7.0,-7.0,1,37.56199,-4.82682,79.21721151362819,37.56199,-4.82682,ifapa-d6bf,37.56199,-4.82682
iesromerovargas2,1,1,US,-115.0,-115.0,-8.0,-8.0,0,,,,,,,,
503139536f424750,1,1,US,-114.0,-114.0,-6.75,-6.75,1,37.3568290227487,-6.05310315850327,144.51615302475793,37.3568290227487,-6.05310315850327,503139536f424750,37.3568290227487,-6.05310315850327
621793161295,1,1,US,-122.0,-122.0,-7.5,-7.5,0,,,,,,,,
a840411f51ac4150,1,1,US,-128.0,-128.0,-7.5,-7.5,0,,,,,,,,
tid4agro-rak7289-lazarza,1,1,EU,-109.0,-109.0,-8.8,-8.8,0,,,,38.81827,-6.22484,tid4agro-rak7289-lazarza,38.81827,-6.22484
cicytex-ic007,1,1,EU,-107.0,-107.0,-8.2,-8.2,0,,,,,,,,
m2-vicente,1,1,EU,-122.0,-122.0,-8.5,-8.5,1,38.689984,-6.646836,184.64811321534685,38.689984,-6.646836,m2-vicente,38.689984,-6.646836
ext-sg50-003,1,1,EU,-117.0,-117.0,-8.0,-8.0,0,,,,,,,,
cicytex-uex-agroecologia,1,1,EU,-109.0,-109.0,-8.2,-8.2,0,,,,38.84925,-6.67158,cicytex-uex-agroecologia,38.84925,-6.67158
quintaleda,1,1,EU,-114.0,-114.0,-6.5,-6.5,1,41.0044688820461,-7.01952618357344,65.15676802509473,41.0044688820461,-7.01952618357344,quintaleda,41.0044688820461,-7.01952618357344
dlps8-121,1,1,EU,-109.0,-109.0,-8.8,-8.8,0,,,,,,,,
atd-mls-000,1,1,US,-122.0,-122.0,-8.0,-8.0,0,,,,,,,,
ext-sg50-009,1,1,US,-118.0,-118.0,-8.0,-8.0,0,,,,,,,,
etsia-d54b,1,1,US,-120.0,-120.0,-6.8,-6.8,1,36.189429816587435,-5.491463541984559,115.76140370062039,36.189429816587435,-5.491463541984559,etsia-d54b,36.189429816587435,-5.491463541984559
milesight-d499,1,1,US,-121.0,-121.0,-9.5,-9.5,1,36.74992,-6.40049,,36.74992,-6.40049,milesight-d499,36.74992,-6.40049
cicytex-lo-santa-amalia,1,1,EU,-114.0,-114.0,-8.2,-8.2,0,,,,39.01372,-6.00181,cicytex-lo-santa-amalia,39.01372,-6.00181
atd-mls-012,1,1,US,-120.0,-120.0,-9.0,-9.0,1,37.9531158415138,-3.30860261429002,160.21067360328783,37.9531158415138,-3.30860261429002,atd-mls-012,37.9531158415138,-3.30860261429002
grhs-inhabit-gw-mtcdt-l4e1-868-002,1,1,US,-115.0,-115.0,-7.8,-7.8,1,37.88107243390527,-4.779678200482805,112.42614038140002,37.88107243390527,-4.779678200482805,grhs-inhabit-gw-mtcdt-l4e1-868-002,37.88107243390527,-4.779678200482805
